Wind Direction(compass),Wind Gust(mph),Screen Relative Humidity(%),Pressure(hpa),Wind Speed(mph),Temperature(C),Visibility(m),Weather Type,Pressure Tendency,Dew Point(C),Minutes Since 12o Clock,day,month,year,Wind Direction(compass) (t+1),Pressure(hpa) (t+1),Wind Speed(mph) (t+1),Temperature(C) (t+1),Visibility(m) (t+1),Weather Type (t+1)
13,18.0,60.3,1020.0,11.0,17.9,35000.0,3,1,10.2,660,29,9,2023,13.0,1020.0,14.0,18.3,40000.0,1.0
13,21.0,52.8,1020.0,14.0,18.3,40000.0,1,1,8.6,720,29,9,2023,13.0,1020.0,15.0,19.6,55000.0,1.0
13,22.0,50.6,1020.0,15.0,19.6,55000.0,1,1,9.2,780,29,9,2023,13.0,1021.0,15.0,19.6,40000.0,3.0
13,23.0,48.9,1021.0,15.0,19.6,40000.0,3,1,8.7,840,29,9,2023,13.0,1021.0,9.0,20.3,35000.0,7.0
13,19.0,49.5,1021.0,9.0,20.3,35000.0,7,1,9.5,900,29,9,2023,13.0,1022.0,10.0,19.4,35000.0,1.0
13,23.0,50.9,1022.0,10.0,19.4,35000.0,1,1,9.1,960,29,9,2023,13.0,1022.0,10.0,19.4,35000.0,1.0
13,23.0,50.9,1022.0,10.0,19.4,35000.0,1,1,9.1,960,29,9,2023,13.0,1022.0,13.0,18.3,30000.0,1.0
13,19.0,55.7,1022.0,13.0,18.3,30000.0,1,1,9.4,1020,29,9,2023,12.0,1023.0,10.0,16.8,30000.0,0.0
12,18.0,63.4,1023.0,10.0,16.8,30000.0,0,1,9.9,1080,29,9,2023,12.0,1024.0,9.0,15.8,30000.0,0.0
12,16.0,68.5,1024.0,9.0,15.8,30000.0,0,1,10.1,1140,29,9,2023,13.0,1024.0,8.0,15.5,30000.0,0.0
13,17.0,69.4,1024.0,8.0,15.5,30000.0,0,1,10.0,1200,29,9,2023,13.0,1024.0,10.0,14.9,30000.0,8.0
13,18.0,72.2,1024.0,10.0,14.9,30000.0,8,1,10.0,1260,29,9,2023,13.0,1025.0,7.0,14.3,27000.0,8.0
13,19.0,76.6,1025.0,7.0,14.3,27000.0,8,1,10.3,1320,29,9,2023,13.0,1025.0,7.0,12.6,24000.0,8.0
13,14.0,82.9,1025.0,7.0,12.6,24000.0,8,1,9.8,1380,29,9,2023,11.0,1025.0,5.0,12.8,26000.0,8.0
11,7.0,86.9,1025.0,5.0,12.8,26000.0,8,1,10.7,0,30,9,2023,13.0,1025.0,3.0,13.1,23000.0,8.0
13,8.0,85.8,1025.0,3.0,13.1,23000.0,8,1,10.8,60,30,9,2023,13.0,1026.0,5.0,12.5,22000.0,8.0
13,7.0,86.8,1026.0,5.0,12.5,22000.0,8,1,10.4,120,30,9,2023,11.0,1025.0,2.0,12.0,24000.0,8.0
11,6.0,89.2,1025.0,2.0,12.0,24000.0,8,0,10.3,180,30,9,2023,10.0,1025.0,5.0,12.1,22000.0,8.0
10,7.0,91.6,1025.0,5.0,12.1,22000.0,8,0,10.8,240,30,9,2023,10.0,1025.0,2.0,11.6,22000.0,8.0
10,7.0,92.2,1025.0,2.0,11.6,22000.0,8,0,10.4,300,30,9,2023,1.0,1025.0,0.0,11.7,22000.0,8.0
1,3.0,92.9,1025.0,0.0,11.7,22000.0,8,0,10.6,360,30,9,2023,1.0,1026.0,2.0,12.5,24000.0,8.0
1,6.0,89.9,1026.0,2.0,12.5,24000.0,8,1,10.9,420,30,9,2023,1.0,1026.0,2.0,14.0,24000.0,1.0
1,5.0,84.2,1026.0,2.0,14.0,24000.0,1,1,11.4,480,30,9,2023,7.0,1026.0,5.0,15.7,27000.0,1.0
7,7.0,77.4,1026.0,5.0,15.7,27000.0,1,1,11.8,540,30,9,2023,8.0,1025.0,7.0,17.2,30000.0,8.0
8,11.0,66.1,1025.0,7.0,17.2,30000.0,8,1,10.9,600,30,9,2023,10.0,1025.0,6.0,17.2,30000.0,8.0
10,14.0,65.7,1025.0,6.0,17.2,30000.0,8,0,10.8,660,30,9,2023,8.0,1025.0,9.0,18.3,40000.0,7.0
8,15.0,57.2,1025.0,9.0,18.3,40000.0,7,0,9.8,720,30,9,2023,8.0,1024.0,9.0,19.1,35000.0,8.0
8,18.0,57.1,1024.0,9.0,19.1,35000.0,8,0,10.5,780,30,9,2023,9.0,1023.0,13.0,19.3,40000.0,8.0
9,19.0,57.1,1023.0,13.0,19.3,40000.0,8,0,10.7,840,30,9,2023,9.0,1023.0,13.0,19.5,35000.0,8.0
9,22.0,59.1,1023.0,13.0,19.5,35000.0,8,0,11.4,900,30,9,2023,9.0,1022.0,14.0,18.5,40000.0,8.0
9,22.0,58.9,1022.0,14.0,18.5,40000.0,8,0,10.4,960,30,9,2023,9.0,1022.0,14.0,18.5,40000.0,8.0
9,22.0,58.9,1022.0,14.0,18.5,40000.0,8,0,10.4,960,30,9,2023,9.0,1022.0,13.0,17.8,35000.0,8.0
9,22.0,64.1,1022.0,13.0,17.8,35000.0,8,0,11.0,1020,30,9,2023,9.0,1022.0,10.0,17.1,30000.0,8.0
9,18.0,66.6,1022.0,10.0,17.1,30000.0,8,0,10.9,1080,30,9,2023,9.0,1022.0,11.0,16.6,29000.0,7.0
9,18.0,72.1,1022.0,11.0,16.6,29000.0,7,0,11.6,1140,30,9,2023,10.0,1022.0,9.0,16.1,27000.0,2.0
10,16.0,74.4,1022.0,9.0,16.1,27000.0,2,0,11.6,1200,30,9,2023,9.0,1022.0,9.0,16.4,27000.0,8.0
9,15.0,76.4,1022.0,9.0,16.4,27000.0,8,0,12.3,1260,30,9,2023,10.0,1022.0,10.0,16.8,27000.0,8.0
10,18.0,76.5,1022.0,10.0,16.8,27000.0,8,0,12.7,1320,30,9,2023,9.0,1021.0,9.0,15.8,25000.0,0.0
9,19.0,82.7,1021.0,9.0,15.8,25000.0,0,0,12.9,1380,30,9,2023,8.0,1022.0,5.0,14.9,22000.0,0.0
8,14.0,87.7,1022.0,5.0,14.9,22000.0,0,0,12.9,0,1,10,2023,9.0,1021.0,5.0,15.4,21000.0,0.0
9,8.0,89.5,1021.0,5.0,15.4,21000.0,0,0,13.7,60,1,10,2023,10.0,1021.0,7.0,15.8,20000.0,8.0
10,10.0,87.2,1021.0,7.0,15.8,20000.0,8,0,13.7,120,1,10,2023,9.0,1020.0,7.0,15.8,20000.0,7.0
9,11.0,88.4,1020.0,7.0,15.8,20000.0,7,0,13.9,180,1,10,2023,9.0,1020.0,9.0,15.7,17000.0,2.0
9,13.0,90.8,1020.0,9.0,15.7,17000.0,2,0,14.2,240,1,10,2023,9.0,1020.0,8.0,16.2,17000.0,8.0
9,14.0,90.8,1020.0,8.0,16.2,17000.0,8,0,14.7,300,1,10,2023,9.0,1020.0,9.0,16.6,18000.0,8.0
9,13.0,90.2,1020.0,9.0,16.6,18000.0,8,0,15.0,360,1,10,2023,9.0,1020.0,8.0,17.1,19000.0,8.0
9,13.0,89.6,1020.0,8.0,17.1,19000.0,8,2,15.4,420,1,10,2023,9.0,1020.0,9.0,18.0,23000.0,8.0
9,14.0,87.4,1020.0,9.0,18.0,23000.0,8,1,15.9,480,1,10,2023,9.0,1020.0,10.0,18.8,26000.0,8.0
9,15.0,84.7,1020.0,10.0,18.8,26000.0,8,2,16.2,540,1,10,2023,10.0,1020.0,10.0,19.5,28000.0,8.0
10,17.0,83.2,1020.0,10.0,19.5,28000.0,8,1,16.6,600,1,10,2023,10.0,1020.0,11.0,20.5,27000.0,8.0
10,17.0,80.7,1020.0,11.0,20.5,27000.0,8,2,17.1,660,1,10,2023,9.0,1020.0,11.0,21.8,27000.0,8.0
9,19.0,77.4,1020.0,11.0,21.8,27000.0,8,0,17.7,720,1,10,2023,9.0,1019.0,11.0,21.5,27000.0,8.0
9,18.0,75.9,1019.0,11.0,21.5,27000.0,8,0,17.1,780,1,10,2023,9.0,1019.0,7.0,21.6,29000.0,8.0
9,16.0,75.4,1019.0,7.0,21.6,29000.0,8,0,17.1,840,1,10,2023,10.0,1019.0,7.0,22.1,29000.0,8.0
10,13.0,73.6,1019.0,7.0,22.1,29000.0,8,0,17.2,900,1,10,2023,12.0,1018.0,11.0,21.7,28000.0,8.0
12,18.0,73.5,1018.0,11.0,21.7,28000.0,8,0,16.8,960,1,10,2023,12.0,1018.0,11.0,21.7,28000.0,8.0
12,18.0,73.5,1018.0,11.0,21.7,28000.0,8,0,16.8,960,1,10,2023,10.0,1019.0,11.0,21.0,25000.0,8.0
10,19.0,74.8,1019.0,11.0,21.0,25000.0,8,0,16.4,1020,1,10,2023,11.0,1019.0,9.0,20.1,26000.0,8.0
11,16.0,77.1,1019.0,9.0,20.1,26000.0,8,0,16.0,1080,1,10,2023,10.0,1019.0,9.0,19.6,21000.0,8.0
10,19.0,80.6,1019.0,9.0,19.6,21000.0,8,1,16.2,1140,1,10,2023,10.0,1019.0,11.0,19.0,24000.0,8.0
10,19.0,82.6,1019.0,11.0,19.0,24000.0,8,1,16.0,1200,1,10,2023,10.0,1019.0,8.0,18.2,29000.0,0.0
10,15.0,84.2,1019.0,8.0,18.2,29000.0,0,1,15.5,1260,1,10,2023,11.0,1019.0,9.0,17.7,35000.0,0.0
11,14.0,85.7,1019.0,9.0,17.7,35000.0,0,1,15.3,1320,1,10,2023,11.0,1019.0,7.0,16.6,30000.0,0.0
11,11.0,89.6,1019.0,7.0,16.6,30000.0,0,1,14.9,1380,1,10,2023,11.0,1019.0,5.0,15.7,23000.0,0.0
11,8.0,92.5,1019.0,5.0,15.7,23000.0,0,1,14.5,0,2,10,2023,11.0,1019.0,8.0,16.5,22000.0,8.0
11,11.0,93.1,1019.0,8.0,16.5,22000.0,8,0,15.4,60,2,10,2023,11.0,1019.0,6.0,16.3,19000.0,8.0
11,9.0,93.7,1019.0,6.0,16.3,19000.0,8,0,15.3,120,2,10,2023,11.0,1019.0,6.0,16.4,18000.0,8.0
11,9.0,94.4,1019.0,6.0,16.4,18000.0,8,0,15.5,180,2,10,2023,12.0,1019.0,5.0,16.3,23000.0,8.0
12,8.0,95.0,1019.0,5.0,16.3,23000.0,8,0,15.5,240,2,10,2023,12.0,1018.0,5.0,16.2,14000.0,8.0
12,7.0,95.6,1018.0,5.0,16.2,14000.0,8,0,15.5,300,2,10,2023,10.0,1018.0,5.0,16.3,14000.0,8.0
10,7.0,95.6,1018.0,5.0,16.3,14000.0,8,0,15.6,360,2,10,2023,1.0,1019.0,2.0,16.3,17000.0,8.0
1,8.0,94.3,1019.0,2.0,16.3,17000.0,8,0,15.4,420,2,10,2023,6.0,1018.0,3.0,16.2,11000.0,8.0
6,8.0,94.4,1018.0,3.0,16.2,11000.0,8,2,15.3,480,2,10,2023,8.0,1018.0,5.0,16.2,7000.0,8.0
8,8.0,94.4,1018.0,5.0,16.2,7000.0,8,1,15.3,540,2,10,2023,9.0,1018.0,3.0,16.7,12000.0,8.0
9,9.0,92.5,1018.0,3.0,16.7,12000.0,8,0,15.5,600,2,10,2023,7.0,1018.0,5.0,17.3,17000.0,8.0
7,9.0,89.1,1018.0,5.0,17.3,17000.0,8,0,15.5,660,2,10,2023,6.0,1017.0,5.0,17.5,22000.0,8.0
6,10.0,88.6,1017.0,5.0,17.5,22000.0,8,0,15.6,720,2,10,2023,10.0,1017.0,5.0,18.2,22000.0,8.0
10,11.0,85.2,1017.0,5.0,18.2,22000.0,8,0,15.7,780,2,10,2023,16.0,1016.0,3.0,18.7,16000.0,8.0
16,7.0,83.1,1016.0,3.0,18.7,16000.0,8,0,15.8,840,2,10,2023,4.0,1014.0,6.0,18.8,15000.0,8.0
4,9.0,83.7,1014.0,6.0,18.8,15000.0,8,0,16.0,900,2,10,2023,5.0,1011.0,13.0,19.0,20000.0,8.0
5,23.0,83.8,1011.0,13.0,19.0,20000.0,8,0,16.2,960,2,10,2023,5.0,1011.0,13.0,19.0,20000.0,8.0
5,23.0,83.8,1011.0,13.0,19.0,20000.0,8,0,16.2,960,2,10,2023,16.0,1013.0,3.0,18.3,9000.0,12.0
16,16.0,92.1,1013.0,3.0,18.3,9000.0,12,0,17.0,1020,2,10,2023,5.0,1012.0,5.0,17.9,9000.0,8.0
5,13.0,94.4,1012.0,5.0,17.9,9000.0,8,0,17.0,1080,2,10,2023,5.0,1010.0,5.0,18.1,8000.0,5.0
5,8.0,95.6,1010.0,5.0,18.1,8000.0,5,0,17.4,1140,2,10,2023,4.0,1009.0,3.0,18.2,8000.0,5.0
4,7.0,95.6,1009.0,3.0,18.2,8000.0,5,0,17.5,1200,2,10,2023,1.0,1009.0,1.0,18.2,7000.0,5.0
1,6.0,95.0,1009.0,1.0,18.2,7000.0,5,0,17.4,1260,2,10,2023,12.0,1008.0,2.0,18.1,6000.0,5.0
12,10.0,95.6,1008.0,2.0,18.1,6000.0,5,0,17.4,1320,2,10,2023,11.0,1009.0,13.0,18.3,12000.0,8.0
11,17.0,91.5,1009.0,13.0,18.3,12000.0,8,0,16.9,1380,2,10,2023,12.0,1009.0,16.0,16.9,40000.0,8.0
12,28.0,88.5,1009.0,16.0,16.9,40000.0,8,0,15.0,0,3,10,2023,1.0,1011.0,2.0,13.3,65000.0,8.0
1,16.0,86.5,1011.0,2.0,13.3,65000.0,8,1,11.1,120,3,10,2023,14.0,1012.0,9.0,13.3,45000.0,8.0
14,17.0,87.6,1012.0,9.0,13.3,45000.0,8,1,11.3,180,3,10,2023,14.0,1013.0,9.0,13.0,19000.0,11.0
14,18.0,89.4,1013.0,9.0,13.0,19000.0,11,1,11.3,240,3,10,2023,14.0,1014.0,8.0,12.6,30000.0,8.0
14,17.0,89.3,1014.0,8.0,12.6,30000.0,8,1,10.9,300,3,10,2023,13.0,1015.0,9.0,12.6,20000.0,11.0
13,15.0,89.3,1015.0,9.0,12.6,20000.0,11,1,10.9,360,3,10,2023,13.0,1016.0,8.0,12.1,20000.0,8.0
13,16.0,92.4,1016.0,8.0,12.1,20000.0,8,1,10.9,420,3,10,2023,12.0,1016.0,10.0,13.5,35000.0,7.0
12,15.0,87.6,1016.0,10.0,13.5,35000.0,7,1,11.5,480,3,10,2023,12.0,1018.0,14.0,14.1,40000.0,1.0
12,19.0,80.4,1018.0,14.0,14.1,40000.0,1,1,10.8,540,3,10,2023,12.0,1019.0,11.0,16.1,50000.0,1.0
12,18.0,71.0,1019.0,11.0,16.1,50000.0,1,1,10.9,600,3,10,2023,13.0,1019.0,17.0,16.8,40000.0,1.0
13,28.0,63.9,1019.0,17.0,16.8,40000.0,1,1,10.0,660,3,10,2023,13.0,1019.0,17.0,17.5,45000.0,8.0
13,29.0,57.9,1019.0,17.0,17.5,45000.0,8,1,9.2,720,3,10,2023,12.0,1020.0,18.0,18.4,50000.0,8.0
12,28.0,55.8,1020.0,18.0,18.4,50000.0,8,1,9.5,780,3,10,2023,13.0,1021.0,13.0,17.2,50000.0,8.0
13,29.0,58.5,1021.0,13.0,17.2,50000.0,8,1,9.1,840,3,10,2023,13.0,1021.0,19.0,18.6,60000.0,1.0
13,29.0,51.4,1021.0,19.0,18.6,60000.0,1,1,8.5,900,3,10,2023,13.0,1022.0,17.0,17.8,55000.0,3.0
13,28.0,53.3,1022.0,17.0,17.8,55000.0,3,1,8.3,960,3,10,2023,13.0,1022.0,17.0,17.8,55000.0,3.0
13,28.0,53.3,1022.0,17.0,17.8,55000.0,3,1,8.3,960,3,10,2023,12.0,1023.0,15.0,16.5,40000.0,1.0
12,25.0,58.3,1023.0,15.0,16.5,40000.0,1,1,8.4,1020,3,10,2023,12.0,1024.0,14.0,15.5,30000.0,2.0
12,23.0,64.9,1024.0,14.0,15.5,30000.0,2,1,9.0,1080,3,10,2023,12.0,1024.0,11.0,14.7,30000.0,0.0
12,19.0,71.7,1024.0,11.0,14.7,30000.0,0,1,9.7,1140,3,10,2023,12.0,1025.0,11.0,13.9,27000.0,0.0
12,21.0,78.1,1025.0,11.0,13.9,27000.0,0,1,10.2,1200,3,10,2023,13.0,1026.0,10.0,13.5,27000.0,8.0
13,18.0,81.8,1026.0,10.0,13.5,27000.0,8,1,10.5,1260,3,10,2023,12.0,1026.0,14.0,13.7,28000.0,8.0
12,19.0,81.9,1026.0,14.0,13.7,28000.0,8,1,10.7,1320,3,10,2023,11.0,1026.0,9.0,13.2,26000.0,8.0
11,19.0,83.5,1026.0,9.0,13.2,26000.0,8,1,10.5,1380,3,10,2023,12.0,1026.0,9.0,12.5,22000.0,0.0
12,15.0,87.4,1026.0,9.0,12.5,22000.0,0,1,10.5,0,4,10,2023,12.0,1026.0,9.0,12.0,21000.0,0.0
12,15.0,90.4,1026.0,9.0,12.0,21000.0,0,1,10.5,60,4,10,2023,11.0,1026.0,8.0,11.7,21000.0,0.0
11,15.0,91.1,1026.0,8.0,11.7,21000.0,0,1,10.3,120,4,10,2023,11.0,1026.0,10.0,11.5,22000.0,0.0
11,16.0,92.3,1026.0,10.0,11.5,22000.0,0,1,10.3,180,4,10,2023,11.0,1026.0,9.0,11.4,22000.0,7.0
11,15.0,92.2,1026.0,9.0,11.4,22000.0,7,0,10.2,240,4,10,2023,10.0,1026.0,7.0,11.3,23000.0,0.0
10,13.0,92.9,1026.0,7.0,11.3,23000.0,0,0,10.2,300,4,10,2023,11.0,1026.0,8.0,11.4,22000.0,8.0
11,13.0,91.0,1026.0,8.0,11.4,22000.0,8,1,10.0,360,4,10,2023,11.0,1026.0,10.0,11.5,24000.0,3.0
11,15.0,90.4,1026.0,10.0,11.5,24000.0,3,1,10.0,420,4,10,2023,12.0,1026.0,13.0,12.8,30000.0,3.0
12,18.0,86.3,1026.0,13.0,12.8,30000.0,3,1,10.6,480,4,10,2023,12.0,1026.0,13.0,14.2,35000.0,3.0
12,21.0,77.7,1026.0,13.0,14.2,35000.0,3,1,10.4,540,4,10,2023,12.0,1026.0,13.0,15.5,30000.0,8.0
12,21.0,74.3,1026.0,13.0,15.5,30000.0,8,0,11.0,600,4,10,2023,13.0,1026.0,18.0,17.2,40000.0,8.0
13,28.0,57.6,1026.0,18.0,17.2,40000.0,8,0,8.9,660,4,10,2023,12.0,1026.0,18.0,17.9,45000.0,8.0
12,25.0,56.3,1026.0,18.0,17.9,45000.0,8,0,9.2,720,4,10,2023,12.0,1025.0,18.0,17.9,45000.0,8.0
12,26.0,55.1,1025.0,18.0,17.9,45000.0,8,0,8.9,780,4,10,2023,12.0,1025.0,17.0,17.4,45000.0,8.0
12,28.0,55.8,1025.0,17.0,17.4,45000.0,8,0,8.6,840,4,10,2023,12.0,1025.0,15.0,17.7,45000.0,8.0
12,25.0,57.0,1025.0,15.0,17.7,45000.0,8,0,9.2,900,4,10,2023,11.0,1024.0,17.0,17.6,45000.0,8.0
11,23.0,57.0,1024.0,17.0,17.6,45000.0,8,0,9.1,960,4,10,2023,11.0,1024.0,17.0,17.6,45000.0,8.0
11,23.0,57.0,1024.0,17.0,17.6,45000.0,8,0,9.1,960,4,10,2023,12.0,1024.0,16.0,16.6,40000.0,3.0
12,26.0,61.2,1024.0,16.0,16.6,40000.0,3,0,9.2,1020,4,10,2023,13.0,1024.0,11.0,15.7,40000.0,8.0
13,21.0,64.9,1024.0,11.0,15.7,40000.0,8,0,9.2,1080,4,10,2023,11.0,1025.0,8.0,15.5,35000.0,8.0
11,14.0,68.5,1025.0,8.0,15.5,35000.0,8,1,9.8,1140,4,10,2023,13.0,1025.0,7.0,15.0,35000.0,8.0
13,16.0,71.7,1025.0,7.0,15.0,35000.0,8,1,10.0,1200,4,10,2023,11.0,1025.0,11.0,15.0,35000.0,8.0
11,17.0,72.2,1025.0,11.0,15.0,35000.0,8,1,10.1,1260,4,10,2023,11.0,1025.0,10.0,14.5,30000.0,8.0
11,18.0,76.1,1025.0,10.0,14.5,30000.0,8,0,10.4,1320,4,10,2023,11.0,1024.0,9.0,13.7,30000.0,8.0
11,16.0,80.8,1024.0,9.0,13.7,30000.0,8,0,10.5,1380,4,10,2023,11.0,1024.0,9.0,13.7,35000.0,8.0
11,17.0,76.5,1024.0,9.0,13.7,35000.0,8,0,9.7,60,5,10,2023,11.0,1024.0,7.0,13.6,35000.0,8.0
11,13.0,77.5,1024.0,7.0,13.6,35000.0,8,0,9.8,120,5,10,2023,12.0,1024.0,7.0,13.3,35000.0,8.0
12,11.0,79.6,1024.0,7.0,13.3,35000.0,8,0,9.9,180,5,10,2023,11.0,1024.0,9.0,13.6,35000.0,8.0
11,13.0,79.1,1024.0,9.0,13.6,35000.0,8,0,10.1,240,5,10,2023,11.0,1023.0,7.0,13.4,35000.0,8.0
11,14.0,79.6,1023.0,7.0,13.4,35000.0,8,0,10.0,300,5,10,2023,12.0,1024.0,8.0,13.4,35000.0,8.0
12,14.0,79.1,1024.0,8.0,13.4,35000.0,8,1,9.9,360,5,10,2023,12.0,1024.0,9.0,13.7,35000.0,8.0
12,18.0,77.6,1024.0,9.0,13.7,35000.0,8,1,9.9,420,5,10,2023,10.0,1024.0,8.0,14.4,30000.0,8.0
10,15.0,76.1,1024.0,8.0,14.4,30000.0,8,1,10.3,480,5,10,2023,11.0,1025.0,9.0,15.1,30000.0,8.0
11,14.0,74.7,1025.0,9.0,15.1,30000.0,8,1,10.7,540,5,10,2023,12.0,1025.0,10.0,17.1,45000.0,3.0
12,17.0,65.1,1025.0,10.0,17.1,45000.0,3,1,10.6,600,5,10,2023,12.0,1025.0,10.0,17.3,40000.0,3.0
12,18.0,62.2,1025.0,10.0,17.3,40000.0,3,1,10.1,660,5,10,2023,11.0,1025.0,9.0,17.9,40000.0,7.0
11,18.0,63.6,1025.0,9.0,17.9,40000.0,7,1,11.0,720,5,10,2023,10.0,1024.0,10.0,19.2,40000.0,8.0
10,18.0,58.6,1024.0,10.0,19.2,40000.0,8,0,11.0,780,5,10,2023,10.0,1024.0,13.0,18.4,40000.0,8.0
10,21.0,61.6,1024.0,13.0,18.4,40000.0,8,0,11.0,840,5,10,2023,10.0,1024.0,10.0,18.1,30000.0,8.0
10,19.0,65.4,1024.0,10.0,18.1,30000.0,8,0,11.6,900,5,10,2023,10.0,1023.0,11.0,17.8,35000.0,8.0
10,21.0,66.7,1023.0,11.0,17.8,35000.0,8,0,11.6,960,5,10,2023,10.0,1023.0,11.0,17.8,35000.0,8.0
10,21.0,66.7,1023.0,11.0,17.8,35000.0,8,0,11.6,960,5,10,2023,10.0,1023.0,15.0,17.1,40000.0,8.0
10,22.0,64.3,1023.0,15.0,17.1,40000.0,8,0,10.4,1020,5,10,2023,10.0,1023.0,11.0,15.8,35000.0,8.0
10,21.0,70.4,1023.0,11.0,15.8,35000.0,8,0,10.5,1080,5,10,2023,10.0,1024.0,9.0,14.6,35000.0,0.0
10,18.0,74.7,1024.0,9.0,14.6,35000.0,0,1,10.2,1140,5,10,2023,10.0,1023.0,10.0,14.3,35000.0,0.0
10,16.0,78.2,1023.0,10.0,14.3,35000.0,0,1,10.6,1200,5,10,2023,10.0,1023.0,9.0,14.1,30000.0,8.0
10,18.0,80.4,1023.0,9.0,14.1,30000.0,8,2,10.8,1260,5,10,2023,10.0,1023.0,9.0,13.9,30000.0,8.0
10,14.0,83.0,1023.0,9.0,13.9,30000.0,8,2,11.1,1320,5,10,2023,10.0,1023.0,8.0,13.7,29000.0,8.0
10,15.0,84.7,1023.0,8.0,13.7,29000.0,8,0,11.2,1380,5,10,2023,11.0,1023.0,8.0,13.7,29000.0,2.0
11,15.0,86.4,1023.0,8.0,13.7,29000.0,2,0,11.5,0,6,10,2023,10.0,1023.0,9.0,13.8,30000.0,7.0
10,13.0,85.9,1023.0,9.0,13.8,30000.0,7,0,11.5,60,6,10,2023,10.0,1023.0,9.0,13.9,30000.0,8.0
10,13.0,85.8,1023.0,9.0,13.9,30000.0,8,0,11.6,120,6,10,2023,11.0,1023.0,9.0,13.6,30000.0,8.0
11,14.0,87.5,1023.0,9.0,13.6,30000.0,8,0,11.6,180,6,10,2023,10.0,1022.0,9.0,13.8,30000.0,8.0
10,15.0,87.0,1022.0,9.0,13.8,30000.0,8,0,11.7,240,6,10,2023,11.0,1022.0,11.0,14.3,35000.0,7.0
11,16.0,85.4,1022.0,11.0,14.3,35000.0,7,0,11.9,300,6,10,2023,11.0,1022.0,13.0,14.3,30000.0,7.0
11,19.0,86.5,1022.0,13.0,14.3,30000.0,7,0,12.1,360,6,10,2023,11.0,1023.0,11.0,14.4,29000.0,1.0
11,22.0,87.6,1023.0,11.0,14.4,29000.0,1,1,12.4,420,6,10,2023,12.0,1023.0,14.0,15.3,30000.0,1.0
12,19.0,86.0,1023.0,14.0,15.3,30000.0,1,1,13.0,480,6,10,2023,12.0,1023.0,13.0,16.4,30000.0,1.0
12,19.0,81.2,1023.0,13.0,16.4,30000.0,1,1,13.2,540,6,10,2023,12.0,1023.0,15.0,17.4,35000.0,1.0
12,22.0,77.2,1023.0,15.0,17.4,35000.0,1,1,13.4,600,6,10,2023,12.0,1023.0,16.0,18.2,35000.0,3.0
12,24.0,74.3,1023.0,16.0,18.2,35000.0,3,1,13.6,660,6,10,2023,12.0,1023.0,16.0,19.1,40000.0,1.0
12,24.0,69.7,1023.0,16.0,19.1,40000.0,1,1,13.5,720,6,10,2023,11.0,1023.0,17.0,20.9,40000.0,7.0
11,24.0,61.1,1023.0,17.0,20.9,40000.0,7,0,13.2,780,6,10,2023,11.0,1022.0,18.0,21.1,35000.0,3.0
11,25.0,58.3,1022.0,18.0,21.1,35000.0,3,0,12.7,840,6,10,2023,12.0,1022.0,16.0,20.9,40000.0,3.0
12,23.0,58.7,1022.0,16.0,20.9,40000.0,3,0,12.6,900,6,10,2023,11.0,1022.0,13.0,20.6,40000.0,3.0
11,23.0,61.4,1022.0,13.0,20.6,40000.0,3,0,13.0,960,6,10,2023,11.0,1022.0,13.0,20.6,40000.0,3.0
11,23.0,61.4,1022.0,13.0,20.6,40000.0,3,0,13.0,960,6,10,2023,11.0,1022.0,11.0,19.4,40000.0,3.0
11,18.0,66.2,1022.0,11.0,19.4,40000.0,3,2,13.0,1020,6,10,2023,11.0,1022.0,10.0,18.4,35000.0,2.0
11,17.0,70.5,1022.0,10.0,18.4,35000.0,2,2,13.0,1080,6,10,2023,10.0,1022.0,8.0,17.7,30000.0,7.0
10,15.0,73.7,1022.0,8.0,17.7,30000.0,7,1,13.0,1140,6,10,2023,11.0,1023.0,11.0,17.1,30000.0,7.0
11,17.0,77.6,1023.0,11.0,17.1,30000.0,7,1,13.2,1200,6,10,2023,11.0,1023.0,11.0,16.6,30000.0,8.0
11,17.0,81.2,1023.0,11.0,16.6,30000.0,8,1,13.4,1260,6,10,2023,11.0,1023.0,10.0,16.5,29000.0,8.0
11,16.0,83.3,1023.0,10.0,16.5,29000.0,8,1,13.7,1320,6,10,2023,11.0,1023.0,9.0,16.1,30000.0,8.0
11,16.0,85.6,1023.0,9.0,16.1,30000.0,8,1,13.7,1380,6,10,2023,11.0,1023.0,11.0,16.2,30000.0,8.0
11,15.0,83.9,1023.0,11.0,16.2,30000.0,8,0,13.5,0,7,10,2023,11.0,1022.0,8.0,15.8,30000.0,8.0
11,15.0,85.5,1022.0,8.0,15.8,30000.0,8,0,13.4,60,7,10,2023,9.0,1022.0,6.0,15.4,30000.0,8.0
9,10.0,86.6,1022.0,6.0,15.4,30000.0,8,0,13.2,120,7,10,2023,10.0,1021.0,8.0,15.1,30000.0,8.0
10,14.0,87.1,1021.0,8.0,15.1,30000.0,8,0,13.0,180,7,10,2023,10.0,1021.0,11.0,15.0,35000.0,2.0
10,16.0,84.8,1021.0,11.0,15.0,35000.0,2,0,12.5,240,7,10,2023,10.0,1022.0,7.0,14.5,30000.0,0.0
10,15.0,87.1,1022.0,7.0,14.5,30000.0,0,0,12.4,300,7,10,2023,10.0,1021.0,10.0,14.6,29000.0,0.0
